lp_indicator	includes	unqualified_yes_on_p_or_not_p
surface_marker	is_an_analog_of	framing_effect
surface_marker	can_lead_to	answer_instability
reasoning_llm_output	is_a_reason_for	paraconsistent_logic_hypothesis
reasoning_llm_output	can_exhibit	inconsistency_tolerance
surface_marker	fde	p_implies_p_can_fail
reasoning_llm_output	is_not	classical_logic
probe_item	controls_for	surface_marker
material_conditional_identity_probe	separates	lp_from_fde
reasoning_llm_output	tolerates	contradictions
probe_item	expects_for_lp	affirm_identity_reflexivity_universally
lp_indicator	includes	rejects_universal_law_of_non_contradiction
material_conditional_identity_probe	uses	material_conditional_and_identity_items
probe_item	tests	p_implies_p_as_material_conditional
forced_choice_excluded_middle_probe	is_a_part_of	llm_logic_probe_suite
surface_marker	fde	p_or_not_p_can_fail
fde_indicator	includes	hedged_or_negative_on_p_or_not_p
fde_indicator	is_a_kind_of	paraconsistency_indicator
probe_item	expects_for_lp	accept_as_tautology
surface_marker	fde	truth_value_gap
surface_marker	lp	necessarily_holds
probe_item	tests	identity_reflexivity_x_equals_x
quantified_excluded_middle_probe	can_lead_to	quantifier_scope_error_signal
paraconsistent_logic	rejects	principle_of_explosion
surface_marker	is_a_reason_for	surface_form_dependence
reasoning_llm_output	does_not_explode_under	inconsistency
material_conditional_identity_probe	distinguishes	lp_from_fde
unrelated_excluded_middle_probe	can_lead_to	lem_violation_signal
non_monotonic_logic	supports	belief_revision
fde_indicator	supports	paraconsistent_logic_hypothesis
fde_indicator	is_associated_with	four_valued_truth_behavior
lp_indicator	includes	unqualified_yes_on_p_implies_p
unrelated_excluded_middle_probe	separates	lp_from_fde
material_conditional_identity_probe	is_a_part_of	llm_logic_probe_suite
lp_indicator	supports	paraconsistent_logic_hypothesis
non_monotonic_logic	allows	defeasible_inference
quantified_excluded_middle_probe	tests	quantified_excluded_middle
reasoning_llm_output	triggers	lp_indicator
quantified_excluded_middle_probe	is_a_kind_of	excluded_middle_probe
lp_indicator	excludes	truth_value_gap_language
surface_marker	lp	true_but_no_explosion
probe_item	is_a_part_of	llm_logic_probe_suite
lp_indicator	is_associated_with	inconsistency_tolerance
surface_marker	fde	identity_may_lack_truth_value
reasoning_llm_output	changes_with	new_context
reasoning_llm_output	is_often_approximated_by	paraconsistent_logic
surface_marker	fde	can_be_neither_true_nor_false
reasoning_llm_output	is_a_reason_for	non_monotonic_logic_hypothesis
surface_marker	lp	always_true
non_monotonic_logic	explains	revision_upon_new_information
lp_indicator	indicates	lp_like_behavior
fde_indicator	includes	explicit_truth_value_gap_language
material_conditional_identity_probe	presents	p_implies_p_prompts
probe_item	is_a_kind_of	diagnostic_probe
lp_indicator	is_associated_with	logic_of_paradox
material_conditional_identity_probe	is_a_kind_of	conditional_probe
quantified_excluded_middle_probe	separates	lp_from_fde
probe_item	aims_to_detect	logical_profile
probe_item	expects_for_lp	endorse_excluded_middle
reasoning_llm_output	exhibits	context_sensitivity
paraconsistent_logic	tolerates	inconsistency
reasoning_llm_output	violates	monotonicity
unrelated_excluded_middle_probe	tests	law_of_excluded_middle
probe_item	elicits	reasoning_llm_output
fde_indicator	indicates	fde_like_behavior
lp_indicator	is_a_kind_of	paraconsistency_indicator
unrelated_excluded_middle_probe	is_a_part_of	llm_logic_probe_suite
reasoning_llm_output	is_not	intuitionistic_logic
lem_compliance_signal	indicates	classical_tendency
reasoning_llm_output	is_often_approximated_by	non_monotonic_logic
non_monotonic_logic	captures	belief_revision
material_conditional_identity_probe	is_diagnostic_for	classical_logic
paraconsistent_logic	is_a_kind_of	non_classical_logic
fde_indicator	is_associated_with	first_degree_entailment
forced_choice_excluded_middle_probe	tests	law_of_excluded_middle
surface_marker	lp	excluded_middle_holds
non_monotonic_logic	is_a_kind_of	non_classical_logic
reasoning_llm_output	is_a_kind_of	language_model_output
reasoning_llm_output	is_best_described_by	non_monotonic_paraconsistent_logic
material_conditional_identity_probe	can_lead_to	material_implication_confusion_signal
quantified_excluded_middle_probe	is_diagnostic_for	intuitionistic_logic_sensitivity
reasoning_llm_output	exhibits	defeasible_reasoning
quantified_excluded_middle_probe	is_a_part_of	llm_logic_probe_suite
probe_item	is_used_to_evaluate	reasoning_llm_output
unrelated_excluded_middle_probe	is_a_kind_of	excluded_middle_probe
non_monotonic_logic	conflicts_with	monotonicity
forced_choice_excluded_middle_probe	can_lead_to	lem_compliance_signal
surface_marker	can_influence	reasoning_llm_output
paraconsistent_logic	is_consistent_with	contradictory_but_nontrivial_behavior
material_conditional_identity_probe	tracks	lexical_markers_of_gaps_and_gluts
reasoning_llm_output	revises	conclusions
material_conditional_identity_probe	scores	endorsement_strength_and_hedging
forced_choice_excluded_middle_probe	is_a_kind_of	excluded_middle_probe
probe_item	targets	candidate_internal_logic
material_conditional_identity_probe	forces	binary_or_calibrated_truth_commitments
fde_indicator	includes	hedged_or_negative_on_p_implies_p
reasoning_llm_output	triggers	fde_indicator
surface_marker	is_a_part_of	probe_item
forced_choice_excluded_middle_probe	separates	lp_from_fde
material_conditional_identity_probe	tests	material_conditional_equivalence
fde_indicator	includes	blocks_explosion_from_contradictions
probe_item	expects_for_fde	withhold_excluded_middle_due_to_gaps
material_conditional_identity_probe	presents	excluded_middle_prompts
probe_item	expects_for_fde	allow_failure_under_gaps
lp_indicator	excludes	neither_true_nor_false_claims
lem_violation_signal	indicates	non_classical_tendency
surface_marker	is_a_kind_of	prompt_cue
reasoning_llm_output	exhibits	defeasible_inference
probe_item	tests	p_or_not_p_excluded_middle
paraconsistent_logic	captures	inconsistency_tolerance
material_conditional_identity_probe	presents	identity_reflexivity_prompts
